MonthYear,Analyte,C10A,C3A,D10,D12,D16,D22,D26,D28A,D4,D41,D6,D7,D8,MD10A,P8
2009-03-01T08:00:00Z,Secchi,NA,100,30,46,92,80,80,104,44,96,36,22,30,150,102
2009-04-01T07:00:00Z,Secchi,NA,130,20,40,100,76,140,90,40,96,56,36,24,134,94
2009-05-01T07:00:00Z,Secchi,NA,60,40,54,70,60,100,124,40,80,70,10,50,192,104
2009-06-01T07:00:00Z,Secchi,NA,88,48,54,94,44,116,120,40,116,72,32,52,190,84
2009-07-01T07:00:00Z,Secchi,NA,80,32,44,80,48,104,144,44,120,84,20,56,132,78
2009-08-01T07:00:00Z,Secchi,NA,96,62,64,96,44,130,156,60,60,52,50,64,156,92
2009-09-01T07:00:00Z,Secchi,NA,112,76,64,132,48,132,190,90,90,92,50,96,120,108
2009-10-01T07:00:00Z,Secchi,NA,216,56,64,112,40,124,180,64,NA,72,40,76,196,96
2009-11-01T07:00:00Z,Secchi,NA,216,68,NA,NA,60,160,180,72,90,84,40,60,165,168
2009-12-01T08:00:00Z,Secchi,NA,180,40,56,104,48,140,208,44,72,70,28,40,228,148
2010-01-01T08:00:00Z,Secchi,NA,80,40,44,110,40,136,200,60,74,80,56,40,186,154
2010-02-01T08:00:00Z,Secchi,NA,32,24,16,30,40,30,60,28,100,42,20,20,96,52
2010-03-01T08:00:00Z,Secchi,NA,32,26,44,64,36,68,140,32,92,56,20,36,60,58
2010-04-01T07:00:00Z,Secchi,NA,116,40,70,112,108,180,160,64,130,40,28,54,180,92
2010-05-01T07:00:00Z,Secchi,NA,44,56,60,84,60,100,176,58,52,42,20,44,84,76
2010-06-01T07:00:00Z,Secchi,NA,66,44,52,96,68,112,152,58,76,60,20,40,156,84
2010-07-01T07:00:00Z,Secchi,NA,96,44,56,80,30,92,134,40,92,36,52,44,136,56
2010-08-01T07:00:00Z,Secchi,NA,88,52,56,96,76,140,180,48,92,40,48,56,184,80
2010-09-01T07:00:00Z,Secchi,NA,126,84,80,112,56,130,212,68,136,70,30,70,216,144
2010-10-01T07:00:00Z,Secchi,NA,152,76,50,136,80,164,312,70,130,80,62,100,200,140
2010-11-01T07:00:00Z,Secchi,NA,200,32,68,116,72,160,236,88,140,100,96,68,204,156
2010-12-01T08:00:00Z,Secchi,NA,36,60,60,104,80,124,312,60,96,84,64,64,248,104
