MonthYear,Analyte,C10A,C3A,D10,D12,D16,D22,D26,D28A,D4,D41,D6,D7,D8,MD10A,P8
2013-04-01T07:00:00Z,DissOrthophos,0.06,0.06,NA,NA,NA,NA,0.04,0.03,0.04,0.07,0.08,0.07,0.08,0.04,0.3
2013-05-01T07:00:00Z,DissOrthophos,0.05,0.06,NA,NA,NA,NA,0.06,0.07,0.07,0.07,0.08,0.08,0.07,0.1,0.14
2013-06-01T07:00:00Z,DissOrthophos,0.04,0.07,NA,NA,NA,NA,0.06,0.06,0.07,0.07,0.09,0.08,0.08,0.09,0.2
2013-07-01T07:00:00Z,DissOrthophos,0.01,0.04,NA,NA,NA,NA,0.05,0.06,0.06,0.09,0.11,0.1,0.05,0.09,0.24
2013-08-01T07:00:00Z,DissOrthophos,0.06,0.06,NA,NA,NA,NA,0.07,0.06,0.09,0.1,0.11,0.1,0.09,0.07,0.27
2013-09-01T07:00:00Z,DissOrthophos,0.09,0.08,NA,NA,NA,NA,0.05,0.06,0.08,0.1,0.11,0.09,0.09,0.04,0.5
2013-10-01T07:00:00Z,DissOrthophos,0.07,0.04,NA,NA,NA,NA,0.06,0.06,0.08,0.09,0.1,0.1,0.09,0.04,0.27
2013-11-01T07:00:00Z,DissOrthophos,0.08,0.07,NA,NA,NA,NA,0.07,0.06,0.08,0.09,0.1,0.09,0.07,0.05,0.12
2013-12-01T08:00:00Z,DissOrthophos,0.07,0.09,NA,NA,NA,NA,0.07,0.06,0.08,0.06,0.06,0.07,0.09,0.06,0.25
2014-01-01T08:00:00Z,DissOrthophos,0.05,0.03,NA,NA,NA,NA,0.05,0.06,0.07,0.05,0.05,0.06,0.07,0.06,0.23
2014-02-01T08:00:00Z,DissOrthophos,0.04,0.07,NA,NA,NA,NA,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.32
2014-03-01T08:00:00Z,DissOrthophos,0.07,0.06,NA,NA,NA,NA,0.08,0.07,0.08,0.06,0.09,0.09,0.09,0.09,0.32
2014-04-01T07:00:00Z,DissOrthophos,0.09,0.08,NA,NA,NA,NA,0.07,0.06,0.08,0.08,0.09,0.09,0.09,0.08,0.29
2014-05-01T07:00:00Z,DissOrthophos,0.02,0.1,NA,NA,NA,NA,0.08,0.08,0.1,0.06,0.08,0.06,0.1,0.1,0.08
2014-06-01T07:00:00Z,DissOrthophos,0.02,0.08,NA,NA,NA,NA,0.07,0.08,0.1,0.09,0.1,0.11,0.1,0.08,0.14
2014-07-01T07:00:00Z,DissOrthophos,0.03,0.09,NA,NA,NA,NA,0.08,0.1,0.1,0.1,0.11,0.11,0.1,0.09,0.21
2014-08-01T07:00:00Z,DissOrthophos,0.02,0.05,NA,NA,NA,NA,0.08,0.06,0.1,0.05,0.07,0.12,0.11,0.07,0.28
2014-09-01T07:00:00Z,DissOrthophos,0.03,0.13,NA,NA,NA,NA,0.08,0.09,0.1,0.1,0.12,0.12,0.12,0.08,0.35
2014-10-01T07:00:00Z,DissOrthophos,0.04,0.12,NA,NA,NA,NA,0.08,0.08,0.1,0.09,0.11,0.11,0.11,0.07,0.42
2014-11-01T07:00:00Z,DissOrthophos,0.08,0.13,NA,NA,NA,NA,0.08,0.08,0.09,0.08,0.1,0.1,0.1,0.07,0.15
2014-12-01T08:00:00Z,DissOrthophos,0.32,0.04,NA,NA,NA,NA,0.06,0.06,0.06,0.09,0.09,0.09,0.08,0.18,0.38
2015-01-01T08:00:00Z,DissOrthophos,0.11,0.08,NA,NA,NA,NA,0.06,0.06,0.08,0.06,0.06,0.06,0.08,0.1,0.37
2015-02-01T08:00:00Z,DissOrthophos,0.1,0.04,NA,NA,NA,NA,0.07,0.07,0.06,0.07,0.08,0.09,0.04,0.16,0.48
2015-03-01T08:00:00Z,DissOrthophos,0.04,0.07,NA,NA,NA,NA,0.07,0.06,0.08,0.06,0.07,0.08,0.08,0.05,0.26
2015-04-01T07:00:00Z,DissOrthophos,0.03,0.09,NA,NA,NA,NA,0.04,0.03,0.06,0.06,0.08,0.06,0.04,0.06,0.3
2015-05-01T07:00:00Z,DissOrthophos,0.03,0.06,NA,NA,NA,NA,0.07,0.09,0.1,0.08,0.1,0.11,0.1,0.13,0.23
2015-06-01T07:00:00Z,DissOrthophos,0.02,0.06,NA,NA,NA,NA,0.08,0.08,0.1,0.09,0.1,0.1,0.1,0.11,0.19
2015-07-01T07:00:00Z,DissOrthophos,0.03,0.04,NA,NA,NA,NA,0.08,0.07,0.1,0.08,0.11,0.11,0.11,0.08,0.32
2015-08-01T07:00:00Z,DissOrthophos,0.03,0.04,NA,NA,NA,NA,0.06,0.07,0.1,0.05,0.06,0.09,0.1,0.04,0.35
2015-09-01T07:00:00Z,DissOrthophos,0.01,0.05,NA,NA,NA,NA,0.06,0.08,0.1,0.07,0.07,0.09,0.1,0.04,0.35
2015-10-01T07:00:00Z,DissOrthophos,0.04,0.08,NA,NA,NA,NA,0.08,0.07,0.11,0.08,0.1,0.11,0.11,0.06,0.42
2015-11-01T07:00:00Z,DissOrthophos,0.04,0.08,NA,NA,NA,NA,0.09,0.07,0.11,0.08,0.1,0.1,0.11,0.08,0.27
2015-12-01T08:00:00Z,DissOrthophos,0.03,0.05,NA,NA,NA,NA,0.04,0.03,0.08,0.08,0.09,0.1,0.08,0.02,0.15
2016-01-01T08:00:00Z,DissOrthophos,0.09,0.07,NA,NA,NA,NA,0.05,0.03,0.08,0.04,0.08,0.07,0.07,0.04,0.2
2016-02-01T08:00:00Z,DissOrthophos,0.16,0.03,NA,NA,NA,NA,0.05,0.04,0.03,0.06,0.07,0.06,0.03,0.11,0.2
2016-03-01T08:00:00Z,DissOrthophos,0.09,0.05,NA,NA,NA,NA,0.05,0.06,0.05,0.04,0.07,0.05,0.05,0.05,0.18
2016-04-01T07:00:00Z,DissOrthophos,0.07,0.04,NA,NA,NA,NA,0.06,0.07,0.06,0.03,0.04,0.06,0.05,0.07,0.18
2016-05-01T07:00:00Z,DissOrthophos,0.06,0.08,NA,NA,NA,NA,0.03,0.02,0.04,0.05,0.05,0.06,0.05,0.08,0.12
2016-06-01T07:00:00Z,DissOrthophos,0.04,0.07,NA,0.07,0.06,0.06,0.06,0.05,0.06,0.05,0.04,0.06,0.07,0.12,0.18
2016-07-01T07:00:00Z,DissOrthophos,0.02,0.04,NA,0.06,0.04,0.04,0.04,0.04,0.03,0.06,0.06,0.06,0.06,0.04,0.13
2016-08-01T07:00:00Z,DissOrthophos,0.04,0.06,NA,0.06,0.05,0.05,0.05,0.05,0.06,0.11,0.1,0.09,0.08,0.04,0.02
2016-09-01T07:00:00Z,DissOrthophos,0.04,0.06,NA,0.07,0.07,0.07,0.06,0.06,0.08,0.1,0.11,0.11,0.09,0.07,0.09
2016-10-01T07:00:00Z,DissOrthophos,0.08,0.12,NA,0.09,0.08,0.09,0.08,0.08,0.1,0.11,0.12,0.11,0.11,0.08,0.42
2016-11-01T07:00:00Z,DissOrthophos,0.15,0.1,NA,0.09,0.08,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.27
2016-12-01T08:00:00Z,DissOrthophos,0.15,0.08,NA,0.08,0.08,0.08,0.08,0.06,0.08,0.08,0.09,0.09,0.09,0.05,0.15
