MonthYear,Analyte,C10A,C3A,D26,D28A,D4,D41,D6,D7,D8,MD10A,P8
1986-01-01T08:00:00Z,DissAmmonia,0.46,0.33,0.19,0.16,0.2,0.13,0.24,0.22,0.22,0.19,0.95
1986-02-01T08:00:00Z,DissAmmonia,0.26,0.14,0.11,0.12,0.08,0.13,0.13,0.11,0.09,0.21,0.57
1986-03-01T08:00:00Z,DissAmmonia,0.13,0.04,0.08,0.04,0.02,0.07,0.1,0.03,0.05,0.19,0.04
1986-04-01T08:00:00Z,DissAmmonia,0.04,0.16,0.07,0.06,0.05,0.07,0.05,0.04,0.05,0.08,0.09
1986-05-01T07:00:00Z,DissAmmonia,0.05,0.15,0.08,0.02,0.02,0.04,0.06,0.03,0.03,0.06,0.09
1986-06-01T07:00:00Z,DissAmmonia,0.035,0.19,0.05,NA,0.01,NA,0.07,0.04,0.02,0.01,0.085
1986-07-01T07:00:00Z,DissAmmonia,0.02,0.135,0.015,NA,0.035,NA,0.02,0.02,0.025,NA,0.09
1986-08-01T07:00:00Z,DissAmmonia,0.05,0.21000000000000002,0.03,NA,0.015,0.034999999999999996,0.035,NA,NA,0.02,0.135
1986-09-01T07:00:00Z,DissAmmonia,0.065,0.13,0.05,0.01,0.015,0.025,0.05,NA,0.025,0.03,0.09
1986-10-01T07:00:00Z,DissAmmonia,0.03,0.18,0.08,0.02,0.01,0.07,0.07,0.04,0.04,0.03,0.15
1986-11-01T08:00:00Z,DissAmmonia,0.06,0.18,0.11,0.06,0.06,0.07,0.09,0.07,0.06,0.04,0.4
1986-12-01T08:00:00Z,DissAmmonia,0.08,0.28,0.12,0.06,0.08,0.08,0.1,0.09,0.1,0.06,0.24
1987-01-01T08:00:00Z,DissAmmonia,0.31,0.18,0.18,0.1,0.14,0.14,0.16,0.15,0.15,0.08,0.29
1987-02-01T08:00:00Z,DissAmmonia,0.4,0.17,0.14,0.13,0.15,0.12,0.14,0.15,0.13,0.12,1.1
1987-03-01T08:00:00Z,DissAmmonia,0.16,0.3,0.18,0.11,0.17,0.06,0.1,0.07,0.12,0.14,0.89
1987-04-01T08:00:00Z,DissAmmonia,0.055,0.225,0.10500000000000001,0.030000000000000002,0.05,0.025,0.065,0.055,0.065,0.03,0.17
1987-05-01T07:00:00Z,DissAmmonia,NA,0.22,0.04,NA,0.02,0.05,0.07,0.015,NA,0.035,0.235
1987-06-01T07:00:00Z,DissAmmonia,NA,0.30000000000000004,0.07500000000000001,0.025,0.03,0.04,0.07,0.05500000000000001,0.04,0.02,0.14
1987-07-01T07:00:00Z,DissAmmonia,0.02,0.365,0.11,0.015,0.025,NA,0.09,0.05,0.045,0.025,0.05
1987-08-01T07:00:00Z,DissAmmonia,0.01,0.22499999999999998,0.07500000000000001,NA,0.02,0.10500000000000001,0.1,0.06,0.045,0.02,0.04
1987-09-01T07:00:00Z,DissAmmonia,0.049999999999999996,0.255,0.055,0.015,0.03,0.31,0.22,0.115,0.09,0.015,0.275
1987-10-01T07:00:00Z,DissAmmonia,0.055,0.55,0.11,0.03,0.045,0.21000000000000002,0.16,0.14500000000000002,0.085,0.025,0.525
1987-11-01T08:00:00Z,DissAmmonia,0.08499999999999999,0.35,0.14,0.045,0.08,0.11,0.1,0.175,0.17,0.035,0.585
1987-12-01T08:00:00Z,DissAmmonia,0.09,0.58,0.18,0.1,0.09,0.04,0.08,0.1,0.09,0.07,0.38
1988-01-01T08:00:00Z,DissAmmonia,0.22,0.11,0.13,0.14,0.09,0.09,0.15,0.18,0.13,0.21,0.21
1988-02-01T08:00:00Z,DissAmmonia,0.13,0.42,0.17,0.09,0.11,NA,0.09,0.11,0.11,0.06,0.61
1988-03-01T08:00:00Z,DissAmmonia,0.05,0.31,0.13,0.05,0.09,NA,0.10500000000000001,0.105,0.09,0.045,0.7949999999999999
1988-04-01T08:00:00Z,DissAmmonia,0.05,0.22,0.085,0.025,0.05500000000000001,0.065,0.07,0.095,0.08,0.06,0.21
1988-05-01T07:00:00Z,DissAmmonia,0.025,0.265,0.055,0.015,0.04,0.095,0.1,0.085,0.065,0.025,0.08
1988-06-01T07:00:00Z,DissAmmonia,0.015,0.24,0.05,NA,0.03,0.07500000000000001,0.08,0.065,0.065,NA,0.06
1988-07-01T07:00:00Z,DissAmmonia,0.03,0.295,0.075,0.025,0.035,0.075,0.065,0.065,0.05,0.03,0.06
1988-08-01T07:00:00Z,DissAmmonia,NA,0.27,0.07,0.02,0.025,0.06,0.045,0.05,0.04,NA,0.035
1988-09-01T07:00:00Z,DissAmmonia,0.01,0.21000000000000002,0.1,0.02,0.025,0.045,0.03,0.025,0.02,0.015,0.035
1988-10-01T07:00:00Z,DissAmmonia,NA,0.42500000000000004,0.11,0.03,0.015,0.03,0.015,NA,NA,0.015,0.565
1988-11-01T08:00:00Z,DissAmmonia,0.09,0.5,0.15,0.02,0.03,0.07,0.03,0.02,0.01,0.03,0.81
1988-12-01T08:00:00Z,DissAmmonia,0.34,0.38,0.19,0.14,0.12,0.09,0.1,0.1,0.1,0.11,0.79
1989-01-01T08:00:00Z,DissAmmonia,0.3,0.2,0.18,0.18,0.14,0.1,0.14,0.13,0.18,0.19,0.51
1989-02-01T08:00:00Z,DissAmmonia,0.84,0.35,0.13,0.14,0.14,0.05,0.08,0.1,0.12,0.05,0.45
1989-03-01T08:00:00Z,DissAmmonia,0.09,0.07,0.08,0.06,0.05,NA,0.12,0.08,0.06,0.08,1.2
1989-04-01T08:00:00Z,DissAmmonia,0.05,0.285,0.07,0.03,0.06,NA,0.1,0.08,0.06,0.035,0.23
1989-05-01T07:00:00Z,DissAmmonia,0.025,0.19,NA,NA,NA,NA,0.06,0.07,0.04,NA,0.115
1989-06-01T07:00:00Z,DissAmmonia,NA,0.265,0.05,0.025,0.03,0.1,0.07500000000000001,0.055,0.055,0.02,0.055
1989-07-01T07:00:00Z,DissAmmonia,0.13,0.215,0.065,0.01,0.035,0.06,0.06,0.045,0.035,0.05,0.04
1989-08-01T07:00:00Z,DissAmmonia,0.045,0.215,0.085,0.02,NA,0.08,0.045,0.030000000000000002,0.04,0.025,0.03
1989-09-01T07:00:00Z,DissAmmonia,NA,0.32,0.1,NA,0.05,0.025,0.025,0.02,0.015,0.015,0.035
1989-10-01T07:00:00Z,DissAmmonia,0.105,0.345,0.12,NA,0.04,0.03,0.035,NA,0.025,0.03,0.665
1989-11-01T08:00:00Z,DissAmmonia,0.06,0.3,0.17,0.08,0.07,0.11,0.1,0.08,0.07,NA,0.74
1989-12-01T08:00:00Z,DissAmmonia,0.19,0.34,0.23,0.1,0.15,0.06,0.08,0.11,0.07,0.09,0.22
1990-01-01T08:00:00Z,DissAmmonia,0.36,0.09,0.15,0.13,0.15,0.09,0.2,0.16,0.16,0.04,0.33
1990-02-01T08:00:00Z,DissAmmonia,0.4,0.28,0.23,0.15,0.16,NA,0.16,0.18,0.16,0.17,0.62
1990-03-01T08:00:00Z,DissAmmonia,0.08,0.28,0.15,0.07,0.12,0.1,0.16,0.15,0.15,0.09,0.05
1990-04-01T08:00:00Z,DissAmmonia,NA,0.305,0.1,0.060000000000000005,0.08499999999999999,0.07,0.11499999999999999,0.1,0.11499999999999999,0.02,0.195
1990-05-01T07:00:00Z,DissAmmonia,0.28,0.37,0.1,NA,0.06,0.05,0.09,0.08,NA,NA,0.060000000000000005
1990-06-01T07:00:00Z,DissAmmonia,NA,0.32,0.09,0.025,0.035,0.075,0.08499999999999999,0.065,0.060000000000000005,0.03,0.06
1990-07-01T07:00:00Z,DissAmmonia,NA,0.28500000000000003,0.07500000000000001,0.015,0.034999999999999996,0.055,0.035,0.02,0.015,0.03,0.03
1990-08-01T07:00:00Z,DissAmmonia,NA,0.33999999999999997,0.08,NA,NA,0.03,0.015,NA,NA,0.02,0.015
1990-09-01T07:00:00Z,DissAmmonia,NA,0.395,NA,NA,NA,NA,NA,NA,NA,0.04,0.11499999999999999
1990-10-01T07:00:00Z,DissAmmonia,0.02,0.41,0.14,0.03,0.02,0.07,0.06,0.03,0.03,NA,0.14
